Station,Order,Year,All,Deaths,Male,Female,Day,Night,Line,Type,rX,rY,inx1,iny1,inx2,iny2,outx1,outy1,outx2,outy2
Thane,1,2014,53,12,43,10,27,26,CR,Interchange,480,540,0,600,480,550,520,550,1100,380
Mulund,2,2014,137,20,107,30,86,51,CR,Slow,1380,290,1100,380,1380,300,1420,300,1600,335
Nahur,3,2014,22,1,16,6,16,6,CR,Slow,1680,340,1600,335,1680,350,1720,350,1900,283
Bhandup,4,2014,47,3,41,6,32,15,CR,Fast,1980,240,1900,283,1980,250,2020,250,2200,322
Kanjurmarg,5,2014,0,0,0,0,0,0,CR,Slow,2380,390,2200,322,2380,400,2420,400,2700,320
Vikhroli,6,2014,72,18,59,13,39,33,CR,Slow,2780,290,2700,320,2780,300,2820,300,3000,230
Ghatkopar,7,2014,137,16,113,24,82,55,CR,Fast,3080,190,3000,230,3080,200,3120,200,3300,200
