Date,Count
01-01-2013,1
02-01-2013,2
03-01-2013,1
04-01-2013,6
05-01-2013,2
06-01-2013,1
07-01-2013,4
08-01-2013,3
09-01-2013,5
10-01-2013,5
11-01-2013,1
12-01-2013,2
13-01-2013,2
14-01-2013,1
15-01-2013,5
16-01-2013,5
17-01-2013,0
18-01-2013,1
19-01-2013,3
20-01-2013,5
21-01-2013,2
22-01-2013,3
23-01-2013,2
24-01-2013,2
25-01-2013,4
26-01-2013,2
27-01-2013,1
28-01-2013,5
29-01-2013,0
30-01-2013,1
31-01-2013,1
01-02-2013,2
02-02-2013,1
03-02-2013,3
04-02-2013,4
05-02-2013,5
06-02-2013,2
07-02-2013,7
08-02-2013,0
09-02-2013,1
10-02-2013,3
11-02-2013,1
12-02-2013,3
13-02-2013,6
14-02-2013,1
15-02-2013,3
16-02-2013,5
17-02-2013,1
18-02-2013,2
19-02-2013,3
20-02-2013,0
21-02-2013,1
22-02-2013,2
23-02-2013,1
24-02-2013,4
25-02-2013,7
26-02-2013,1
27-02-2013,2
28-02-2013,4
01-03-2013,2
02-03-2013,7
03-03-2013,2
04-03-2013,3
05-03-2013,9
06-03-2013,1
07-03-2013,5
08-03-2013,4
09-03-2013,4
10-03-2013,1
11-03-2013,1
12-03-2013,4
13-03-2013,3
14-03-2013,2
15-03-2013,4
16-03-2013,4
17-03-2013,5
18-03-2013,2
19-03-2013,6
20-03-2013,2
21-03-2013,1
22-03-2013,3
23-03-2013,1
24-03-2013,1
25-03-2013,7
26-03-2013,1
27-03-2013,2
28-03-2013,4
29-03-2013,3
30-03-2013,4
31-03-2013,1
01-04-2013,4
02-04-2013,2
03-04-2013,2
04-04-2013,8
05-04-2013,1
06-04-2013,2
07-04-2013,6
08-04-2013,6
09-04-2013,5
10-04-2013,4
11-04-2013,1
12-04-2013,3
13-04-2013,0
14-04-2013,3
15-04-2013,3
16-04-2013,5
17-04-2013,4
18-04-2013,1
19-04-2013,6
20-04-2013,2
21-04-2013,1
22-04-2013,3
23-04-2013,3
24-04-2013,4
25-04-2013,4
26-04-2013,5
27-04-2013,6
28-04-2013,1
29-04-2013,4
30-04-2013,5
01-05-2013,2
02-05-2013,2
03-05-2013,3
04-05-2013,6
05-05-2013,2
06-05-2013,5
07-05-2013,2
08-05-2013,3
09-05-2013,4
10-05-2013,6
11-05-2013,4
12-05-2013,1
13-05-2013,4
14-05-2013,2
15-05-2013,9
16-05-2013,5
17-05-2013,2
18-05-2013,2
19-05-2013,0
20-05-2013,5
21-05-2013,6
22-05-2013,1
23-05-2013,3
24-05-2013,0
25-05-2013,3
26-05-2013,0
27-05-2013,6
28-05-2013,7
29-05-2013,2
30-05-2013,2
31-05-2013,1
01-06-2013,3
02-06-2013,4
03-06-2013,3
04-06-2013,6
05-06-2013,2
06-06-2013,7
07-06-2013,6
08-06-2013,3
09-06-2013,1
10-06-2013,4
11-06-2013,0
12-06-2013,3
13-06-2013,3
14-06-2013,3
15-06-2013,1
16-06-2013,1
17-06-2013,4
18-06-2013,1
19-06-2013,2
20-06-2013,2
21-06-2013,8
22-06-2013,1
23-06-2013,6
24-06-2013,4
25-06-2013,1
26-06-2013,3
27-06-2013,6
28-06-2013,3
