Date,Count
29-06-2013,2
30-06-2013,0
01-07-2013,4
02-07-2013,4
03-07-2013,6
04-07-2013,2
05-07-2013,4
06-07-2013,3
07-07-2013,2
08-07-2013,6
09-07-2013,3
10-07-2013,4
11-07-2013,2
12-07-2013,3
13-07-2013,0
14-07-2013,0
15-07-2013,5
16-07-2013,6
17-07-2013,2
18-07-2013,2
19-07-2013,1
20-07-2013,1
21-07-2013,6
22-07-2013,4
23-07-2013,4
24-07-2013,1
25-07-2013,3
26-07-2013,2
27-07-2013,1
28-07-2013,1
29-07-2013,4
30-07-2013,2
31-07-2013,2
01-08-2013,4
02-08-2013,1
03-08-2013,0
04-08-2013,7
05-08-2013,4
06-08-2013,6
07-08-2013,0
08-08-2013,5
09-08-2013,2
10-08-2013,6
11-08-2013,3
12-08-2013,6
13-08-2013,2
14-08-2013,4
15-08-2013,1
16-08-2013,3
17-08-2013,2
18-08-2013,6
19-08-2013,5
20-08-2013,0
21-08-2013,2
22-08-2013,0
23-08-2013,3
24-08-2013,4
25-08-2013,2
26-08-2013,2
27-08-2013,7
28-08-2013,1
29-08-2013,1
30-08-2013,4
31-08-2013,4
01-09-2013,1
02-09-2013,8
03-09-2013,4
04-09-2013,3
05-09-2013,3
06-09-2013,4
07-09-2013,7
08-09-2013,3
09-09-2013,3
10-09-2013,2
11-09-2013,9
12-09-2013,2
13-09-2013,5
14-09-2013,3
15-09-2013,3
16-09-2013,6
17-09-2013,3
18-09-2013,3
19-09-2013,0
20-09-2013,4
21-09-2013,7
22-09-2013,0
23-09-2013,3
24-09-2013,3
25-09-2013,2
26-09-2013,6
27-09-2013,1
28-09-2013,2
29-09-2013,4
30-09-2013,4
01-10-2013,1
02-10-2013,4
03-10-2013,3
04-10-2013,6
05-10-2013,2
06-10-2013,3
07-10-2013,5
08-10-2013,0
09-10-2013,2
10-10-2013,2
11-10-2013,3
12-10-2013,2
13-10-2013,5
14-10-2013,3
15-10-2013,2
16-10-2013,1
17-10-2013,2
18-10-2013,8
19-10-2013,1
20-10-2013,2
21-10-2013,10
22-10-2013,0
23-10-2013,2
24-10-2013,2
25-10-2013,5
26-10-2013,2
27-10-2013,4
28-10-2013,14
29-10-2013,3
30-10-2013,3
31-10-2013,5
01-11-2013,1
02-11-2013,1
03-11-2013,3
04-11-2013,6
05-11-2013,3
06-11-2013,5
07-11-2013,5
08-11-2013,3
09-11-2013,2
10-11-2013,7
11-11-2013,3
12-11-2013,2
13-11-2013,3
14-11-2013,3
15-11-2013,3
16-11-2013,4
17-11-2013,3
18-11-2013,4
19-11-2013,3
20-11-2013,3
21-11-2013,0
22-11-2013,0
23-11-2013,0
24-11-2013,1
25-11-2013,5
26-11-2013,1
27-11-2013,1
28-11-2013,3
29-11-2013,0
30-11-2013,3
01-12-2013,2
02-12-2013,1
03-12-2013,4
04-12-2013,9
05-12-2013,0
06-12-2013,5
07-12-2013,3
08-12-2013,1
09-12-2013,1
10-12-2013,5
11-12-2013,0
12-12-2013,1
13-12-2013,3
14-12-2013,4
15-12-2013,4
16-12-2013,4
17-12-2013,0
18-12-2013,3
19-12-2013,2
20-12-2013,3
21-12-2013,10
22-12-2013,1
23-12-2013,3
24-12-2013,5
25-12-2013,2
26-12-2013,0
27-12-2013,0
28-12-2013,0
29-12-2013,0
30-12-2013,0
31-12-2013,0
