Date,Count
01-01-2012,5
02-01-2012,2
03-01-2012,6
04-01-2012,4
05-01-2012,2
06-01-2012,4
07-01-2012,8
08-01-2012,6
09-01-2012,5
10-01-2012,6
11-01-2012,3
12-01-2012,7
13-01-2012,4
14-01-2012,6
15-01-2012,6
16-01-2012,11
17-01-2012,6
18-01-2012,5
19-01-2012,6
20-01-2012,5
21-01-2012,7
22-01-2012,3
23-01-2012,4
24-01-2012,6
25-01-2012,11
26-01-2012,4
27-01-2012,5
28-01-2012,4
29-01-2012,11
30-01-2012,7
31-01-2012,3
01-02-2012,2
02-02-2012,16
03-02-2012,10
04-02-2012,1
05-02-2012,5
06-02-2012,7
07-02-2012,7
08-02-2012,5
09-02-2012,3
10-02-2012,7
11-02-2012,1
12-02-2012,5
13-02-2012,4
14-02-2012,5
15-02-2012,4
16-02-2012,6
17-02-2012,4
18-02-2012,5
19-02-2012,3
20-02-2012,3
21-02-2012,4
22-02-2012,2
23-02-2012,6
24-02-2012,0
25-02-2012,1
26-02-2012,2
27-02-2012,2
28-02-2012,5
29-02-2012,3
01-03-2012,2
02-03-2012,4
03-03-2012,2
04-03-2012,3
05-03-2012,1
06-03-2012,3
07-03-2012,6
08-03-2012,4
09-03-2012,2
10-03-2012,6
11-03-2012,3
12-03-2012,1
13-03-2012,3
14-03-2012,2
15-03-2012,3
16-03-2012,4
17-03-2012,2
18-03-2012,10
19-03-2012,1
20-03-2012,6
21-03-2012,4
22-03-2012,1
23-03-2012,1
24-03-2012,5
25-03-2012,1
26-03-2012,2
27-03-2012,2
28-03-2012,5
29-03-2012,2
30-03-2012,1
31-03-2012,8
01-04-2012,5
02-04-2012,5
03-04-2012,4
04-04-2012,3
05-04-2012,4
06-04-2012,2
07-04-2012,2
08-04-2012,4
09-04-2012,2
10-04-2012,7
11-04-2012,7
12-04-2012,4
13-04-2012,6
14-04-2012,3
15-04-2012,6
16-04-2012,4
17-04-2012,3
18-04-2012,3
19-04-2012,25
20-04-2012,5
21-04-2012,8
22-04-2012,2
23-04-2012,3
24-04-2012,6
25-04-2012,2
26-04-2012,1
27-04-2012,6
28-04-2012,2
29-04-2012,6
30-04-2012,4
01-05-2012,3
02-05-2012,3
03-05-2012,3
04-05-2012,1
05-05-2012,2
06-05-2012,3
07-05-2012,1
08-05-2012,10
09-05-2012,8
10-05-2012,5
11-05-2012,7
12-05-2012,4
13-05-2012,4
14-05-2012,3
15-05-2012,3
16-05-2012,3
17-05-2012,1
18-05-2012,0
19-05-2012,2
20-05-2012,1
21-05-2012,5
22-05-2012,4
23-05-2012,5
24-05-2012,2
25-05-2012,5
26-05-2012,3
27-05-2012,5
28-05-2012,4
29-05-2012,0
30-05-2012,4
31-05-2012,4
01-06-2012,2
02-06-2012,3
03-06-2012,4
04-06-2012,3
05-06-2012,4
06-06-2012,1
07-06-2012,1
08-06-2012,3
09-06-2012,2
10-06-2012,2
11-06-2012,4
12-06-2012,2
13-06-2012,1
14-06-2012,1
15-06-2012,7
16-06-2012,5
17-06-2012,2
18-06-2012,4
19-06-2012,7
20-06-2012,3
21-06-2012,4
22-06-2012,3
23-06-2012,1
24-06-2012,3
25-06-2012,4
26-06-2012,4
27-06-2012,2
28-06-2012,6
29-06-2012,4
30-06-2012,4
01-07-2012,1
02-07-2012,6
03-07-2012,3
04-07-2012,4
05-07-2012,2
06-07-2012,0
07-07-2012,0
08-07-2012,4
09-07-2012,7
10-07-2012,2
11-07-2012,8
12-07-2012,6
13-07-2012,0
14-07-2012,2
15-07-2012,0
16-07-2012,0
17-07-2012,1
18-07-2012,1
19-07-2012,1
20-07-2012,5
21-07-2012,4
22-07-2012,1
23-07-2012,3
24-07-2012,1
25-07-2012,0
26-07-2012,1
27-07-2012,2
28-07-2012,3
29-07-2012,3
30-07-2012,0
31-07-2012,2
01-08-2012,6
02-08-2012,5
03-08-2012,4
04-08-2012,2
05-08-2012,4
06-08-2012,4
07-08-2012,4
08-08-2012,2
09-08-2012,5
10-08-2012,3
11-08-2012,2
12-08-2012,2
13-08-2012,2
14-08-2012,2
15-08-2012,2
16-08-2012,5
17-08-2012,2
18-08-2012,1
19-08-2012,1
20-08-2012,3
21-08-2012,3
22-08-2012,0
23-08-2012,4
24-08-2012,4
25-08-2012,3
26-08-2012,3
27-08-2012,2
28-08-2012,1
29-08-2012,1
30-08-2012,0
31-08-2012,5
01-09-2012,3
02-09-2012,3
03-09-2012,1
04-09-2012,6
05-09-2012,3
06-09-2012,5
07-09-2012,1
08-09-2012,3
09-09-2012,4
10-09-2012,5
11-09-2012,4
12-09-2012,4
13-09-2012,5
14-09-2012,2
15-09-2012,5
16-09-2012,4
17-09-2012,2
18-09-2012,1
19-09-2012,2
20-09-2012,6
21-09-2012,0
22-09-2012,1
23-09-2012,2
24-09-2012,4
25-09-2012,2
26-09-2012,5
27-09-2012,6
28-09-2012,8
29-09-2012,1
30-09-2012,3
01-10-2012,3
02-10-2012,3
03-10-2012,6
04-10-2012,2
05-10-2012,3
06-10-2012,4
07-10-2012,1
08-10-2012,6
09-10-2012,3
10-10-2012,1
11-10-2012,10
12-10-2012,0
13-10-2012,5
14-10-2012,1
15-10-2012,6
16-10-2012,5
17-10-2012,4
18-10-2012,2
19-10-2012,4
20-10-2012,3
21-10-2012,6
22-10-2012,6
23-10-2012,6
24-10-2012,1
25-10-2012,6
26-10-2012,3
27-10-2012,4
28-10-2012,5
29-10-2012,4
30-10-2012,7
31-10-2012,0
01-11-2012,2
02-11-2012,4
03-11-2012,6
04-11-2012,1
05-11-2012,5
06-11-2012,3
07-11-2012,2
08-11-2012,4
09-11-2012,2
10-11-2012,6
11-11-2012,0
12-11-2012,4
13-11-2012,2
14-11-2012,5
15-11-2012,2
16-11-2012,3
17-11-2012,2
18-11-2012,3
19-11-2012,3
20-11-2012,8
21-11-2012,2
22-11-2012,1
23-11-2012,3
24-11-2012,1
25-11-2012,7
26-11-2012,7
27-11-2012,0
28-11-2012,4
29-11-2012,3
30-11-2012,3
01-12-2012,5
02-12-2012,6
03-12-2012,1
04-12-2012,3
05-12-2012,2
06-12-2012,2
07-12-2012,9
08-12-2012,3
09-12-2012,2
10-12-2012,2
11-12-2012,5
12-12-2012,3
13-12-2012,2
14-12-2012,2
15-12-2012,4
16-12-2012,4
17-12-2012,1
18-12-2012,1
19-12-2012,1
20-12-2012,1
21-12-2012,2
22-12-2012,0
23-12-2012,2
24-12-2012,1
25-12-2012,3
