Date,Count
21-12-2014,2
22-12-2014,0
23-12-2014,1
24-12-2014,3
25-12-2014,4
26-12-2014,6
27-12-2014,0
28-12-2014,1
29-12-2014,0
30-12-2014,3
31-12-2014,0
